trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.22548855643237117, 'e': 0.0890870806374748}",25,1,20.946446720378948,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.22323367086804746, 'e': 0.08873565094161139}",20,12,-6.437573472706301,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.22100133415936699, 'e': 0.08838834764831843}",25,7,32.49260261696317,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.2187913208177733, 'e': 0.08804509063256238}",20,0,30.502648986005653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.21660340760959557, 'e': 0.08770580193070293}",25,2,0.8559001541291316,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.21443737353349962, 'e': 0.0873704056661038}",25,5,34.15361331602049,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.21229299979816463, 'e': 0.08703882797784893}",25,11,21.48319655769754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.210170069800183, 'e': 0.086710996952412}",20,9,20.488984835214545,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.20806836910218116, 'e': 0.08638684255813601}",25,13,19.926977763279574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.20598768541115933, 'e': 0.08606629658238704}",20,15,10.189088800631724,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.20392780855704773, 'e': 0.08574929257125441}",20,0,22.500114139455608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.20188853047147726, 'e': 0.0854357657716761}",25,0,40.54697294956122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.19986964516676248, 'e': 0.08512565307587486}",20,4,28.101122023524113,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.19787094871509486, 'e': 0.08481889296799709}",20,0,15.927891010263048,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.1958922392279439, 'e': 0.08451542547285165}",20,5,23.554101794331093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.19393331683566448, 'e': 0.0842151921066519}",30,22,14.284702700049362,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.19199398366730783, 'e': 0.08391813582966891}",20,0,35.892120348733194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.19007404383063475, 'e': 0.08362420100070908}",30,8,12.401871700912961,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.1881733033923284, 'e': 0.08333333333333333}",20,0,-12.166570236728651,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.18629157035840513, 'e': 0.08304547985373997}",25,17,11.637572008895534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.18442865465482108, 'e': 0.0827605888602368}",25,7,-25.99471212352451,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.18258436810827286, 'e': 0.08247860988423225}",25,17,17.043949599787403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.18075852442719012, 'e': 0.08219949365267865}",25,15,18.692143167062216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1789509391829182, 'e': 0.08192319205190404}",35,17,24.816416371231337,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.17716142979108904, 'e': 0.08164965809277261}",35,13,22.440077724755927,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.17538981549317814, 'e': 0.08137884587711594}",25,20,10.933963398843964,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.17363591733824635, 'e': 0.08111071056538126}",20,6,2.3282750893553104,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.17189955816486388, 'e': 0.08084520834544431}",20,0,-6.929046389254368,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.17018056258321523, 'e': 0.08058229640253803}",30,15,19.879515285172427,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.16847875695738307, 'e': 0.08032193289024989}",25,17,12.7758252376439,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.16679396938780924, 'e': 0.08006407690254357}",30,18,9.84198871270361,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.16512602969393114, 'e': 0.07980868844676221}",30,21,18.742519554678708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.16347476939699182, 'e': 0.079555728417573}",25,3,22.863613466047653,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.1618400217030219, 'e': 0.07930515857181442}",20,6,8.704307571954068,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.16022162148599167, 'e': 0.07905694150420949}",25,0,32.78842415952645,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.15861940527113175, 'e': 0.07881104062391006}",25,14,-0.9659978540744607,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.15703321121842043, 'e': 0.07856742013183861}",20,0,32.59235263880721,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.1554628791062362, 'e': 0.07832604499879574}",25,13,19.699168811821277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.15390825031517386, 'e': 0.07808688094430304}",20,0,-19.17667206293086,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
165,False,"{'a': 0.15236916781202212, 'e': 0.0778498944161523}",20,8,21.39479600373059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1508454761339019, 'e': 0.07761505257063328}",20,0,19.795707405953966,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.14933702137256288, 'e': 0.07738232325341368}",25,0,34.224895893438884,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.14784365115883724, 'e': 0.07715167498104596}",20,10,21.34352021345083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.14636521464724886, 'e': 0.07692307692307693}",30,14,-1.1568675136373778,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.14490156250077638, 'e': 0.07669649888473705}",25,20,9.23448728932398,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1434525468757686, 'e': 0.07647191129018725}",35,27,11.649581918980125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.14201802140701092, 'e': 0.07624928516630233}",25,11,16.453714409958504,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
